Cluster,uplift_score,cluster
3,0.8522057206656259,3
1,0.8868740297482409,1
1,0.8050701983150819,1
1,0.8249095657098562,1
1,0.8993060284172105,1
3,0.7683284944727362,3
3,0.9033185035558113,3
1,0.8740932744139707,1
1,0.7994670741117813,1
1,0.8630498943365514,1
0,0.8059501910428324,0
1,0.752079676539785,1
1,0.8563400261187499,1
1,0.794317483880502,1
1,0.7640681783926735,1
3,0.7853314241020379,3
1,0.8423579238395746,1
2,0.7471651537316335,2
1,0.81535682728424,1
2,0.7528784544780178,2
3,0.8832703309667997,3
1,0.8549714704181193,1
3,0.8474578980911409,3
1,0.8545168668863703,1
3,0.8484475794297643,3
3,0.845706235028943,3
2,0.770085785912358,2
1,0.8844038891510833,1
2,0.7434952470501548,2
2,0.7670045242491375,2
2,0.8489402166307487,2
3,0.7538905539296159,3
2,0.8258089675653977,2
1,0.8767285571133498,1
1,0.8090619416152185,1
2,0.7515658319195924,2
1,0.7805196733821103,1
1,0.8831408173719049,1
1,0.8209042372489017,1
2,0.7819954186987093,2
0,0.7532845683166365,0
1,0.7857215016349683,1
3,0.8644228085232983,3
1,0.8468298749861938,1
3,0.8441952495872891,3
1,0.9025414723248837,1
2,0.8282927295605536,2
0,0.7616180929421421,0
3,0.7870963225190528,3
1,0.8959565256464936,1
3,0.8033458668323852,3
3,0.843613877594332,3
1,0.8794202854026654,1
3,0.8905319756019636,3
2,0.7983318289665038,2
3,0.7663528582881725,3
2,0.7783061143948107,2
1,0.784904869463446,1
3,0.8406740559258155,3
1,0.7640842037657607,1
1,0.8878077165727609,1
1,0.8728099154137654,1
1,0.8778506341411108,1
1,0.7986109972031019,1
1,0.8878077165727609,1
1,0.8919301180542076,1
3,0.8570349771466537,3
3,0.8415088227710876,3
2,0.7473646838847989,2
2,0.7740128197006235,2
1,0.8692789068398252,1
0,0.8071758613360485,0
0,0.784798681055781,0
1,0.8492200336112234,1
1,0.7891001629235488,1
1,0.8212696640941237,1
1,0.8816845560148634,1
1,0.844108347430393,1
1,0.7668137948521925,1
1,0.8494116361868196,1
3,0.8636098263492087,3
1,0.8440043610402461,1
3,0.8701938669199003,3
3,0.8952415965858704,3
1,0.8103549861418213,1
1,0.8191836658217204,1
1,0.8067479032553511,1
1,0.7886517234136883,1
0,0.8260784113966135,0
2,0.8004167229930581,2
3,0.8813362250431569,3
1,0.822462888609472,1
2,0.7598823689132228,2
1,0.7522762673812844,1
1,0.8341498314271294,1
1,0.8738927503724829,1
1,0.8476924401355646,1
1,0.8082314297414077,1
3,0.8898940681596459,3
1,0.8360591485072504,1
1,0.8198168338634864,1
3,0.7883675178585532,3
2,0.757683457871783,2
1,0.8825929492596942,1
1,0.8487892867099012,1
1,0.8564489227443592,1
3,0.8825494248636927,3
2,0.7801109701447593,2
3,0.8701938669199003,3
2,0.7476139516555096,2
3,0.8204879388430479,3
1,0.8330885381781281,1
1,0.7974920524760785,1
3,0.857250078847339,3
1,0.8677350433447242,1
3,0.7826242379640727,3
1,0.8217238664093174,1
3,0.7772070029167297,3
1,0.8357210010548306,1
3,0.8654465282848915,3
1,0.8460204904015225,1
1,0.7920721713017482,1
0,0.7461315195679776,0
1,0.8662310052055477,1
3,0.8431391105117023,3
1,0.8994110529089263,1
3,0.8757670279057306,3
3,0.7692481792573633,3
1,0.8191836658217204,1
1,0.8206918075384773,1
1,0.8348644158475644,1
1,0.8363656778707798,1
1,0.860106478171268,1
1,0.8119560467612337,1
2,0.7458308548860244,2
1,0.8342778151454644,1
1,0.8835173964785963,1
0,0.7875709460830771,0
1,0.794425747783668,1
0,0.7642656849355753,0
2,0.7670045242491375,2
3,0.8489507990866516,3
1,0.8234970227625664,1
1,0.8456228216533632,1
1,0.8852044240778851,1
1,0.8849750311965598,1
1,0.7943478403702668,1
1,0.8356293410579492,1
3,0.7520323402700917,3
1,0.8577750277079048,1
3,0.77303540138999,3
2,0.8282927295605536,2
1,0.8520181171578982,1
2,0.7900509958299053,2
1,0.8568748199852507,1
1,0.7963847718970927,1
1,0.7464355341881512,1
1,0.8408011304418193,1
2,0.7510978474111849,2
0,0.7480106919710525,0
1,0.8858953435824788,1
1,0.8691224593961329,1
1,0.887178606769679,1
1,0.8992019036637544,1
3,0.844682528861529,3
3,0.7788321055720249,3
1,0.8273631371996608,1
3,0.8560089236030746,3
3,0.8932081479943941,3
2,0.7441790776656407,2
3,0.8371426941608564,3
3,0.8957724819099133,3
1,0.8481595464883611,1
